dist_num,dist_name,num_youth,num_youth_black,pct_youth_black,num_youth_hispanic,pct_youth_hispanic,num_youth_white,pct_youth_white,num_arrests,num_arrests_black,pct_arrests_black,num_arrests_hispanic,pct_arrests_hispanic,num_arrests_white,pct_arrests_white
1,Central,1450,973,0.67103448275862068966,66,0.04551724137931034483,411,0.28344827586206896552,416,367,0.86556603773584905660,28,0.06603773584905660377,21,0.04952830188679245283
2,Wentworth,9489,8379,0.88302244704394562125,366,0.03857097692064495732,744,0.07840657603540942144,890,874,0.97762863534675615213,9,0.01006711409395973154,7,0.00782997762863534676
3,Grand Crossing,9064,8775,0.96811562224183583407,148,0.01632833186231244484,141,0.01555604589585172109,1012,1011,0.99802566633761105627,0,0.00000000000000000000,1,0.00098716683119447187
4,South Chicago,14692,8671,0.59018513476722025592,5537,0.37687176694799891097,484,0.03294309828478083311,1333,1118,0.83808095952023988006,200,0.14992503748125937031,15,0.01124437781109445277
5,Calumet,9303,8967,0.96388261851015801354,243,0.02612060625604643663,93,0.00999677523379554982,1063,1048,0.98403755868544600939,13,0.01220657276995305164,2,0.00187793427230046948
6,Gresham,11079,10965,0.98971026265908475494,106,0.00956765050997382435,8,0.00072208683094142071,1025,1013,0.98732943469785575049,8,0.00779727095516569201,4,0.00389863547758284600
7,Englewood,8926,8587,0.96202106206587497199,316,0.03540219583239973112,23,0.00257674210172529689,994,985,0.98796389167502507523,8,0.00802407221664994985,1,0.00100300902708124373
8,Chicago Lawn,33827,6450,0.19067608714931859166,24329,0.71921837585360806456,3048,0.09010553699707334378,1597,927,0.58010012515644555695,618,0.38673341677096370463,52,0.03254067584480600751
9,Deering,19433,2730,0.14048268409406679360,15233,0.78387279370143570216,1470,0.07564452220449750425,925,439,0.47408207343412526998,438,0.47300215982721382289,48,0.05183585313174946004
10,Ogden,15348,4594,0.29932238728173051863,10655,0.69422726088089653375,99,0.00645035183737294762,1093,732,0.66971637694419030192,352,0.32204940530649588289,9,0.00823421774931381519
11,Harrison,12015,10563,0.87915106117353308365,1366,0.11369121930919683729,86,0.00715771951727007907,1764,1715,0.97167138810198300283,44,0.02492917847025495751,5,0.00283286118980169972
12,Near West,10630,4102,0.38588899341486359360,5473,0.51486359360301034807,1055,0.09924741298212605833,512,341,0.66213592233009708738,149,0.28932038834951456311,22,0.04271844660194174757
14,Shakespeare,8216,1498,0.18232716650438169426,5809,0.70703505355404089581,909,0.11063777994157740993,298,119,0.39932885906040268456,169,0.56711409395973154362,10,0.03355704697986577181
15,Austin,8083,7674,0.94939997525671161697,381,0.04713596436966472844,28,0.00346406037362365458,1347,1327,0.98442136498516320475,17,0.01261127596439169139,3,0.00222551928783382789
16,Jefferson Park,18435,327,0.01773799837266069976,7728,0.41920260374288039056,10380,0.56305939788445890968,349,71,0.20000000000000000000,170,0.47887323943661971831,108,0.30422535211267605634
17,Albany Park,12224,549,0.04491164921465968586,8485,0.69412630890052356021,3190,0.26096204188481675393,454,129,0.28043478260869565217,273,0.59347826086956521739,52,0.11304347826086956522
18,Near North,3108,966,0.31081081081081081081,297,0.09555984555984555985,1845,0.59362934362934362934,427,384,0.89302325581395348837,20,0.04651162790697674419,23,0.05348837209302325581
19,Town Hall,7065,801,0.11337579617834394904,1287,0.18216560509554140127,4977,0.70445859872611464968,317,183,0.56134969325153374233,80,0.24539877300613496933,54,0.16564417177914110429
20,Lincoln,3427,458,0.13364458710242194339,1525,0.44499562299387219142,1444,0.42135978990370586519,195,103,0.52020202020202020202,66,0.33333333333333333333,26,0.13131313131313131313
22,Morgan Park,11044,6720,0.60847519014849692141,585,0.05296993842810575878,3739,0.33855487142339731981,682,655,0.96041055718475073314,1,0.00146627565982404692,26,0.03812316715542521994
24,Rogers Park,10322,2635,0.25527998449912807595,3989,0.38645611315636504553,3698,0.35826390234450687851,320,230,0.70769230769230769231,72,0.22153846153846153846,18,0.05538461538461538462
25,Grand Central,23940,4113,0.17180451127819548872,18833,0.78667502088554720134,994,0.04152046783625730994,711,322,0.45288326300984528833,366,0.51476793248945147679,23,0.03234880450070323488
